File,Name,Lower_Left_Lon,Lower_Left_Lat,Upper_Right_Lon,Upper_Right_Lat
B4.kml,poly_1,139.609202,36.373019,139.620666,36.382979
B4.kml,poly_2,139.604287,36.370169,139.611075,36.374336
B4.kml,ROIポリゴン,140.352359,37.495948,140.364334,37.504827
B4.kml,poly_1,140.353717,37.496781,140.363685,37.504006
B4.kml,poly_2,140.355807,37.499333,140.361013,37.503611
B4.kml,ROIポリゴン,139.105129,36.634893,139.124071,36.647345
B4.kml,poly_1,139.106024,36.635350,139.123432,36.646540
B4.kml,宮崎えびの,130.772710,32.023489,130.786539,32.029280
B4.kml,poly_2,130.777543,32.024085,130.779137,32.025266
B4.kml,poly_3,130.779486,32.024067,130.782505,32.026815
B4.kml,poly_4,130.772720,32.024038,130.774057,32.026765
B4.kml,ROIポリゴン,130.771515,32.022269,130.787518,32.030425
B4.kml,ROIポリゴン,130.858775,32.792733,130.873897,32.807990
B4.kml,poly_org,130.860185,32.793885,130.871764,32.805176
B4.kml,poly_2,130.860185,32.793885,130.871728,32.805237
B4.kml,poly,130.861982,32.797204,130.870840,32.799459
B4.kml,poly_3,130.865732,32.801358,130.867094,32.801888
B4.kml,poly_4,130.867074,32.800980,130.870477,32.801530
B4.kml,koubeyamada,135.121729,34.768035,135.127801,34.780085
B4.kml,Poly_2,135.122404,34.768021,135.123535,34.770422
B4.kml,ROIポリゴン,135.119262,34.766679,135.129123,34.780577
B4.kml,ROIポリゴン,136.370654,34.624565,136.384204,34.636698
B4.kml,poly_1,136.371972,34.625039,136.383026,34.635794
B4.kml,無題 - ポリゴン,137.028268,36.981419,137.046772,36.990297
B4.kml,poly_1,137.030957,36.984504,137.045550,36.989347
B4.kml,poly_2,137.029167,36.986151,137.030864,36.987389
B4.kml,poly_3,137.031061,36.981964,137.032924,36.983703
B4.kml,ROIポリゴン,140.976797,38.489772,140.991915,38.501665
B4.kml,poly_1,140.977920,38.490432,140.990335,38.500662
B4.kml,ROIポリゴン,130.500199,31.902951,130.514520,31.917335
B4.kml,さつまポリゴン,130.502607,31.903954,130.513793,31.912459
B4.kml,さつま-2,130.502288,31.912072,130.506442,31.916637
B4.kml,poly_3,130.507354,31.905758,130.510380,31.907223
B4.kml,poly_4,130.507086,31.905807,130.507444,31.906347
